,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,6.955089772000001,2.0,11.0,11.0,11.0
53,9.818363257,6.955089772000001,2.0,11.0,11.0
54,12.68163674,9.818363257,6.955089772000001,2.0,11.0
55,15.54491023,12.68163674,9.818363257,6.955089772000001,2.0
56,18.40818371,15.54491023,12.68163674,9.818363257,6.955089772000001
57,22.73652702,18.40818371,15.54491023,12.68163674,9.818363257
58,35.85528926,22.73652702,18.40818371,15.54491023,12.68163674
59,50.43912133,35.85528926,22.73652702,18.40818371,15.54491023
60,61.3486356,50.43912133,35.85528926,22.73652702,18.40818371
61,50.21224307,61.3486356,50.43912133,35.85528926,22.73652702
62,35.40153275,50.21224307,61.3486356,50.43912133,35.85528926
63,38.59846725,35.40153275,50.21224307,61.3486356,50.43912133
64,59.80304656,38.59846725,35.40153275,50.21224307,61.3486356
65,75.8939728,59.80304656,38.59846725,35.40153275,50.21224307
66,61.30298065,75.8939728,59.80304656,38.59846725,35.40153275
67,41.59833543,61.30298065,75.8939728,59.80304656,38.59846725
68,21.89369021,41.59833543,61.30298065,75.8939728,59.80304656
69,15.64767739,21.89369021,41.59833543,61.30298065,75.8939728
70,22.86029696,15.64767739,21.89369021,41.59833543,61.30298065
71,30.07291654,22.86029696,15.64767739,21.89369021,41.59833543
72,37.28553611,30.07291654,22.86029696,15.64767739,21.89369021
73,44.49815568,37.28553611,30.07291654,22.86029696,15.64767739
74,41.64113161,44.49815568,37.28553611,30.07291654,22.86029696
75,28.71446389,41.64113161,44.49815568,37.28553611,30.07291654
76,15.78779617,28.71446389,41.64113161,44.49815568,37.28553611
77,2.86112845,15.78779617,28.71446389,41.64113161,44.49815568
78,-10.06553927,2.86112845,15.78779617,28.71446389,41.64113161
79,-22.99220699,-10.06553927,2.86112845,15.78779617,28.71446389
80,-25.05962525,-22.99220699,-10.06553927,2.86112845,15.78779617
81,-16.26779406,-25.05962525,-22.99220699,-10.06553927,2.86112845
82,-7.475962872999999,-16.26779406,-25.05962525,-22.99220699,-10.06553927
83,1.315868318,-7.475962872999999,-16.26779406,-25.05962525,-22.99220699
84,2.684131682,1.315868318,-7.475962872999999,-16.26779406,-25.05962525
85,-3.37117278,2.684131682,1.315868318,-7.475962872999999,-16.26779406
86,-9.62882722,-3.37117278,2.684131682,1.315868318,-7.475962872999999
87,-16.08883164,-9.62882722,-3.37117278,2.684131682,1.315868318
88,-22.54883606,-16.08883164,-9.62882722,-3.37117278,2.684131682
89,-18.73000221,-22.54883606,-16.08883164,-9.62882722,-3.37117278
90,-4.632330089,-18.73000221,-22.54883606,-16.08883164,-9.62882722
91,7.0,-4.632330089,-18.73000221,-22.54883606,-16.08883164
92,3.840277897,7.0,-4.632330089,-18.73000221,-22.54883606
93,-0.745413048,3.840277897,7.0,-4.632330089,-18.73000221
94,0.905135151,-0.745413048,3.840277897,7.0,-4.632330089
95,3.5950565389999998,0.905135151,-0.745413048,3.840277897,7.0
96,2.404943461,3.5950565389999998,0.905135151,-0.745413048,3.840277897
97,0.0,2.404943461,3.5950565389999998,0.905135151,-0.745413048
98,10.0,0.0,2.404943461,3.5950565389999998,0.905135151
99,3.0,10.0,0.0,2.404943461,3.5950565389999998
100,3.0,3.0,10.0,0.0,2.404943461
101,3.0,3.0,3.0,10.0,0.0
102,9.0,3.0,3.0,3.0,10.0
103,8.0,9.0,3.0,3.0,3.0
