"","x"
"1",22.9875780188724
"2",-40.6220947247897
"3",-92.3169649367703
"4",109.393641228625
"5",49.2690455199548
"6",74.8690722567168
"7",21.4379699909114
"8",1.25748464593467
"9",110.577859503528
"10",84.5930699235133
"11",25.7468177039686
"12",103.988452708306
"13",91.8449890777496
"14",122.833297470984
"15",169.543682548626
"16",145.983934467531
"17",43.2779234271587
"18",40.3284109031785
"19",-13.6737751184408
"20",44.3542223478574
"21",58.0159206480693
"22",44.4263424702665
"23",74.942481669795
"24",55.2782495623525
"25",69.5962831558863
"26",60.1353465227224
"27",43.4751156503676
"28",51.4860038757166
"29",42.3144596184434
"30",34.332488734984
"31",55.7317612544998
"32",98.5996000565502
"33",95.933234256949
"34",98.0913305527937
"35",83.062780024052
"36",-15.3326686958943
"37",22.7961462814049
"38",79.4487609237153
"39",67.914505607041
"40",58.0975639936306
"41",38.9284457241473
"42",48.2779315696714
"43",46.4486517879312
"44",47.7298581304067
"45",43.465506817071
"46",34.974613374684
"47",34.4036593081328
"48",19.2916922904189
"49",56.4416527701814
"50",13.9770582161992
"51",59.7017870591978
"52",-23.6931665823106
