"","x"
"1",-34.1968997465788
"2",86.781417612185
"3",150.82958991011
"4",8.61383031674871
"5",37.8059200864833
"6",-9.75185320469384
"7",-21.9556787634664
"8",-18.0050012193682
"9",141.548276371713
"10",156.812666890174
"11",155.046927018026
"12",18.464925708832
"13",20.101436836675
"14",182.07987980269
"15",296.753367620634
"16",211.589970638203
"17",-18.6048641772536
"18",154.706538493393
"19",41.4561914239493
"20",121.494530394385
"21",164.665205399303
"22",164.913792571341
"23",186.448832068067
"24",156.818381401785
"25",20.9748374388746
"26",-0.88121189105455
"27",114.129019973344
"28",15.6283243603136
"29",5.0303605650956
"30",5.63870857462603
"31",13.3723194831788
"32",112.673472033222
"33",-88.2494149579973
"34",58.3710730445865
"35",16.07249867154
"36",-17.3603540635512
"37",107.280669046397
"38",173.829005731302
"39",159.859546498817
"40",39.2285404423895
"41",-79.9331066181715
"42",26.2669000084183
"43",100.200651917292
"44",12.3097279540229
"45",41.7935210559855
"46",61.3272236714796
"47",29.7742201500129
"48",10.3551156740422
"49",40.961176559246
"50",32.997644823112
"51",20.0972366804536
"52",27.1183192575723
