,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,4,26,8,31,9
53,3,4,26,8,31
54,2,3,4,26,8
55,1,2,3,4,26
56,4,1,2,3,4
57,3,4,1,2,3
58,3,3,4,1,2
59,1,3,3,4,1
60,0,1,3,3,4
61,0,0,1,3,3
62,2,0,0,1,3
63,1,2,0,0,1
64,0,1,2,0,0
65,0,0,1,2,0
66,2,0,0,1,2
67,1,2,0,0,1
68,0,1,2,0,0
69,1,0,1,2,0
70,1,1,0,1,2
71,1,1,1,0,1
72,5,1,1,1,0
73,-4,5,1,1,1
74,0,-4,5,1,1
75,1,0,-4,5,1
76,2,1,0,-4,5
77,-3,2,1,0,-4
78,1,-3,2,1,0
79,2,1,-3,2,1
80,2,2,1,-3,2
81,0,2,2,1,-3
82,-2,0,2,2,1
83,0,-2,0,2,2
84,1,0,-2,0,2
85,0,1,0,-2,0
86,-1,0,1,0,-2
87,1,-1,0,1,0
88,10,1,-1,0,1
89,0,10,1,-1,0
90,0,0,10,1,-1
91,1,0,0,10,1
92,0,1,0,0,10
93,1,0,1,0,0
94,0,1,0,1,0
95,0,0,1,0,1
96,0,0,0,1,0
97,3,0,0,0,1
98,-1,3,0,0,0
99,-1,-1,3,0,0
100,1,-1,-1,3,0
101,1,1,-1,-1,3
102,0,1,1,-1,-1
103,0,0,1,1,-1
