,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,2,20,14,32,12
53,5,2,20,14,32
54,6,5,2,20,14
55,13,6,5,2,20
56,6,13,6,5,2
57,5,6,13,6,5
58,9,5,6,13,6
59,8,9,5,6,13
60,10,8,9,5,6
61,5,10,8,9,5
62,4,5,10,8,9
63,5,4,5,10,8
64,5,5,4,5,10
65,0,5,5,4,5
66,8,0,5,5,4
67,5,8,0,5,5
68,3,5,8,0,5
69,4,3,5,8,0
70,2,4,3,5,8
71,5,2,4,3,5
72,8,5,2,4,3
73,0,8,5,2,4
74,6,0,8,5,2
75,4,6,0,8,5
76,1,4,6,0,8
77,-8,1,4,6,0
78,2,-8,1,4,6
79,1,2,-8,1,4
80,1,1,2,-8,1
81,0,1,1,2,-8
82,1,0,1,1,2
83,1,1,0,1,1
84,4,1,1,0,1
85,2,4,1,1,0
86,-16,2,4,1,1
87,-1,-16,2,4,1
88,14,-1,-16,2,4
89,-1,14,-1,-16,2
90,3,-1,14,-1,-16
91,3,3,-1,14,-1
92,2,3,3,-1,14
93,2,2,3,3,-1
94,-4,2,2,3,3
95,0,-4,2,2,3
96,3,0,-4,2,2
97,8,3,0,-4,2
98,4,8,3,0,-4
99,-3,4,8,3,0
100,7,-3,4,8,3
101,4,7,-3,4,8
102,-1,4,7,-3,4
103,-5,-1,4,7,-3
