,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,0,4,1,32,6
53,1,0,4,1,32
54,0,1,0,4,1
55,5,0,1,0,4
56,2,5,0,1,0
57,3,2,5,0,1
58,1,3,2,5,0
59,4,1,3,2,5
60,1,4,1,3,2
61,3,1,4,1,3
62,0,3,1,4,1
63,4,0,3,1,4
64,0,4,0,3,1
65,0,0,4,0,3
66,3,0,0,4,0
67,0,3,0,0,4
68,0,0,3,0,0
69,0,0,0,3,0
70,0,0,0,0,3
71,1,0,0,0,0
72,6,1,0,0,0
73,-5,6,1,0,0
74,1,-5,6,1,0
75,4,1,-5,6,1
76,5,4,1,-5,6
77,-13,5,4,1,-5
78,2,-13,5,4,1
79,0,2,-13,5,4
80,3,0,2,-13,5
81,0,3,0,2,-13
82,0,0,3,0,2
83,2,0,0,3,0
84,0,2,0,0,3
85,1,0,2,0,0
86,-3,1,0,2,0
87,20,-3,1,0,2
88,-16,20,-3,1,0
89,0,-16,20,-3,1
90,0,0,-16,20,-3
91,0,0,0,-16,20
92,0,0,0,0,-16
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,2,0,0,0,0
98,-2,2,0,0,0
99,0,-2,2,0,0
100,1,0,-2,2,0
101,4,1,0,-2,2
102,4,4,1,0,-2
103,3,4,4,1,0
