,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,1,5,7,30,2
53,6,1,5,7,30
54,6,6,1,5,7
55,13,6,6,1,5
56,2,13,6,6,1
57,4,2,13,6,6
58,4,4,2,13,6
59,5,4,4,2,13
60,2,5,4,4,2
61,-1,2,5,4,4
62,4,-1,2,5,4
63,1,4,-1,2,5
64,2,1,4,-1,2
65,0,2,1,4,-1
66,7,0,2,1,4
67,6,7,0,2,1
68,1,6,7,0,2
69,3,1,6,7,0
70,1,3,1,6,7
71,2,1,3,1,6
72,7,2,1,3,1
73,-6,7,2,1,3
74,2,-6,7,2,1
75,0,2,-6,7,2
76,3,0,2,-6,7
77,-6,3,0,2,-6
78,4,-6,3,0,2
79,1,4,-6,3,0
80,4,1,4,-6,3
81,0,4,1,4,-6
82,1,0,4,1,4
83,3,1,0,4,1
84,3,3,1,0,4
85,0,3,3,1,0
86,-1,0,3,3,1
87,-5,-1,0,3,3
88,6,-5,-1,0,3
89,1,6,-5,-1,0
90,4,1,6,-5,-1
91,1,4,1,6,-5
92,1,1,4,1,6
93,2,1,1,4,1
94,-2,2,1,1,4
95,0,-2,2,1,1
96,2,0,-2,2,1
97,6,2,0,-2,2
98,-1,6,2,0,-2
99,-1,-1,6,2,0
100,2,-1,-1,6,2
101,2,2,-1,-1,6
102,-1,2,2,-1,-1
103,2,-1,2,2,-1
