,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,12,20,26,85,30
53,15,12,20,26,85
54,34,15,12,20,26
55,44,34,15,12,20
56,57,44,34,15,12
57,52,57,44,34,15
58,45,52,57,44,34
59,35,45,52,57,44
60,91,35,45,52,57
61,17,91,35,45,52
62,29,17,91,35,45
63,26,29,17,91,35
64,29,26,29,17,91
65,0,29,26,29,17
66,55,0,29,26,29
67,-13,55,0,29,26
68,28,-13,55,0,29
69,22,28,-13,55,0
70,20,22,28,-13,55
71,25,20,22,28,-13
72,11,25,20,22,28
73,31,11,25,20,22
74,16,31,11,25,20
75,18,16,31,11,25
76,9,18,16,31,11
77,8,9,18,16,31
78,17,8,9,18,16
79,18,17,8,9,18
80,15,18,17,8,9
81,0,15,18,17,8
82,27,0,15,18,17
83,20,27,0,15,18
84,18,20,27,0,15
85,9,18,20,27,0
86,-19,9,18,20,27
87,-6,-19,9,18,20
88,17,-6,-19,9,18
89,12,17,-6,-19,9
90,14,12,17,-6,-19
91,9,14,12,17,-6
92,6,9,14,12,17
93,12,6,9,14,12
94,5,12,6,9,14
95,3,5,12,6,9
96,6,3,5,12,6
97,11,6,3,5,12
98,69,11,6,3,5
99,-12,69,11,6,3
100,24,-12,69,11,6
101,8,24,-12,69,11
102,-49,8,24,-12,69
103,3,-49,8,24,-12
