"","x"
"1",103.362416524465
"2",86.8125227344072
"3",13.9671662381129
"4",-19.1242929008323
"5",5.34031824664612
"6",16.1295831318913
"7",20.0450335132007
"8",17.4737305572992
"9",-11.2743753342581
"10",-16.1819401222384
"11",-14.3455732190258
"12",2.56241162834961
"13",2.95532302970612
"14",1.27876691677193
"15",3.23618125523982
"16",0.362487012508034
"17",-13.8024554290336
"18",2.83553206213797
"19",-1.57427082919594
"20",3.68904566912136
"21",1
"22",5.67917165101205
"23",-5.24392539859892
"24",-0.024640576258844
"25",6.02405847706387
"26",3.12320330504245
"27",-11.1578364126177
"28",-7.18795815437642
"29",0
"30",2.21696879088288
"31",0.965673907801246
"32",0.304965862210996
"33",0.930647679573417
"34",0.561576925405069
"35",1.72638863593511
"36",-2.41862486094711
"37",3.34957729876274
"38",4.96468655530785
"39",0.52807591869189
"40",3.59685255494937
"41",-2.76969603053969
"42",-2.70107679814004
"43",-2.21810973618745
"44",-2.62961588985528
"45",-0.648570522377028
"46",-1.92763768491807
"47",0
"48",1.43139939512337
"49",-0.300986867151519
"50",0.150695227516551
"51",-0.983365331809209
"52",-0.928755769124028
