"","x"
"1",14.5774486147339
"2",32.3001484011584
"3",33.0060391573549
"4",-25.913097752579
"5",-46.2606533388009
"6",-25.692380760826
"7",-20.2100680104932
"8",-5.61303021081032
"9",-1.20139218845009
"10",-13.5167434138472
"11",-10.9214058037551
"12",-9.1993066928673
"13",-9.66487908093859
"14",-7.90877831120285
"15",-6.84412445859827
"16",-6.8342404535143
"17",-6.13478959004896
"18",-5.74049791035012
"19",1.66780390143635
"20",2.09898288991697
"21",2.03782425823965
"22",0.784167353428567
"23",1.05228864615039
"24",1.95857350198783
"25",1.08782097905405
"26",0.886087555295412
"27",-0.23962419492631
"28",0.678294989203153
"29",0.230462240926906
"30",0.457473300284938
"31",0.768141237461267
"32",-0.468136522156009
"33",-0.580118710359475
"34",0.311185291134133
"35",-1.30235647151346
"36",0.317207829306668
"37",-3.72043006718101
"38",0.0355131822129683
"39",0.259031371782368
"40",2.24985270173658
"41",1.75720348833795
"42",2.10843142524762
"43",-5.24512729673001
"44",-2.30284943406342
"45",1.56185318488799
"46",-0.470271627101652
"47",2.20412037907376
"48",1.73723324717557
"49",0.91878312894214
"50",1.80778957792375
"51",-0.605108608082145
"52",4.47411347521017
