"","x"
"1",37.7496957403306
"2",11.6016393442623
"3",9.97324735915726
"4",-7.51354155867569
"5",-3.60597442459295
"6",-3.2785852672687
"7",6.80531338843806
"8",5.67454182177043
"9",-3.65597219413072
"10",9.11468385964057
"11",7.57130577478642
"12",-20.1842501556079
"13",-26.5011912430726
"14",-30.8147031769882
"15",-30.0999193949124
"16",-34.0563341166983
"17",-34.2185590898962
"18",11.3070991967821
"19",5.76711432294641
"20",5.72076977725804
"21",-24.5725074290544
"22",1.26720993346178
"23",2.98905101519908
"24",-13.8431421276797
"25",-15.0795527545574
"26",-11.4512482217567
"27",0.186325899944165
"28",-7.34261332802724
"29",-14.3989737375789
"30",-9.80819263150698
"31",-1.14069011428873
"32",-3.32764434584741
"33",-6.01480071365809
"34",1.26968446449103
"35",-1.52794548060696
"36",-3.32512329275315
"37",2.17612698620453
"38",1.15083595392382
"39",-5.92041320043792
"40",5.01961115739767
"41",5.03481653506035
"42",5.08820936291266
"43",-0.302028609064859
"44",-1.17498109805982
"45",-2.45914563344476
"46",1.84253429350585
"47",-3.14152474944659
"48",-1.27314741914165
"49",4.26031961298495
"50",3.31883331232446
"51",2.05786423749589
"52",2.64845395635339
