"","x"
"1",85.2578425504366
"2",122.968183182539
"3",71.3358135562451
"4",38.4782291189225
"5",41.7955206649468
"6",26.5428919273272
"7",42.881370288457
"8",71.819956615437
"9",76.4191716439832
"10",85.0247869104177
"11",99.8328075709779
"12",110.483332283071
"13",115.755506785815
"14",79.1964284541398
"15",27.2537523139419
"16",-88.4326721730004
"17",-53.4501377603256
"18",-86.0489728591772
"19",44.4916068408931
"20",-5.46885933795045
"21",15.8625714373621
"22",17.2251780262834
"23",52.0870741249013
"24",52.5427034377204
"25",38.510108834396
"26",-25.1156743277959
"27",-41.7692021072139
"28",-5.82064049443693
"29",-9.86139809949935
"30",10.2241144986955
"31",-6.94080515213341
"32",-2.05791119848851
"33",-0.0516538947711922
"34",-2.25797045482156
"35",0.719933540726018
"36",5.32922217526016
"37",17.2910966104282
"38",17.9589454797978
"39",12.9170284654601
"40",8.14064109905187
"41",9.71552909558293
"42",14.4162238651443
"43",10.4965193010714
"44",7.84750842036146
"45",11.0829359574803
"46",10.6426107900316
"47",8.48965971625795
"48",3.65959214766361
"49",7.97501504945177
"50",8.40293200236743
"51",21.8344711556382
"52",13.4099364056708
