Date,Observed,Naive,Naive-Error,LSTM-NN,LSTM-NN-Error,SARIMA,SARIMA-Error
01/01/2017,4,31,27,14.911580085754395,10.911580085754395,14.577448614733902,10.577448614733902
08/01/2017,3,8,5,10.83127212524414,7.831272125244141,32.3001484011584,29.300148401158403
15/01/2017,2,26,24,15.724739074707033,13.724739074707033,33.0060391573549,31.0060391573549
22/01/2017,1,4,3,10.014841079711914,9.014841079711914,-25.913097752579002,-26.913097752579002
29/01/2017,4,3,-1,11.88428020477295,7.884280204772949,-46.2606533388009,-50.2606533388009
05/02/2017,3,2,-1,11.464524269104006,8.464524269104006,-25.692380760826,-28.692380760826
12/02/2017,3,1,-2,8.36598014831543,5.36598014831543,-20.2100680104932,-23.2100680104932
19/02/2017,1,4,3,7.127440929412843,6.127440929412843,-5.6130302108103205,-6.6130302108103205
26/02/2017,0,3,3,6.6111083030700675,6.6111083030700675,-1.2013921884500902,-1.2013921884500902
05/03/2017,0,3,3,7.658378124237059,7.658378124237059,-13.516743413847198,-13.516743413847198
12/03/2017,2,1,-1,6.4434146881103525,4.4434146881103525,-10.9214058037551,-12.9214058037551
19/03/2017,1,0,-1,3.420618057250977,2.420618057250977,-9.199306692867301,-10.199306692867301
26/03/2017,0,0,0,1.9672592878341677,1.9672592878341677,-9.66487908093859,-9.66487908093859
02/04/2017,0,2,2,2.7643065452575684,2.7643065452575684,-7.908778311202849,-7.908778311202849
09/04/2017,2,1,-1,1.9937295913696291,-0.006270408630370872,-6.8441244585982695,-8.84412445859827
16/04/2017,1,0,-1,0.9523064494132996,-0.04769355058670044,-6.834240453514299,-7.834240453514299
23/04/2017,0,0,0,0.6231433749198914,0.6231433749198914,-6.13478959004896,-6.13478959004896
30/04/2017,1,2,1,1.1771800518035889,0.17718005180358887,-5.74049791035012,-6.74049791035012
07/05/2017,1,1,0,1.1320587396621704,0.1320587396621704,1.6678039014363502,0.6678039014363502
14/05/2017,1,0,-1,0.8564018607139587,-0.14359813928604126,2.09898288991697,1.0989828899169698
21/05/2017,5,1,-4,0.6627607345581055,-4.3372392654418945,2.0378242582396497,-2.9621757417603503
28/05/2017,-4,1,5,0.2802843451499939,4.280284345149994,0.784167353428567,4.784167353428567
04/06/2017,0,1,1,0.2477510571479797,0.2477510571479797,1.05228864615039,1.05228864615039
11/06/2017,1,5,4,0.10632794350385666,-0.8936720564961433,1.95857350198783,0.9585735019878301
18/06/2017,2,-4,-6,0.3431635499000549,-1.656836450099945,1.08782097905405,-0.9121790209459499
25/06/2017,-3,0,3,2.2411608695983887,5.241160869598389,0.8860875552954119,3.886087555295412
02/07/2017,1,1,0,4.318836688995361,3.3188366889953613,-0.23962419492630999,-1.23962419492631
09/07/2017,2,2,0,-0.4675406515598297,-2.4675406515598297,0.678294989203153,-1.321705010796847
16/07/2017,2,-3,-5,0.2814709544181824,-1.7185290455818176,0.230462240926906,-1.769537759073094
23/07/2017,0,1,1,-2.293588399887085,-2.293588399887085,0.457473300284938,0.457473300284938
30/07/2017,-2,2,4,2.376131296157837,4.376131296157837,0.7681412374612672,2.768141237461267
06/08/2017,0,2,2,2.8796207904815674,2.8796207904815674,-0.468136522156009,-0.468136522156009
13/08/2017,1,0,-1,-0.3748274445533752,-1.3748274445533752,-0.5801187103594749,-1.580118710359475
20/08/2017,0,-2,-2,1.2795807123184204,1.2795807123184204,0.311185291134133,0.311185291134133
27/08/2017,-1,0,1,0.2451308071613312,1.2451308071613312,-1.30235647151346,-0.3023564715134599
03/09/2017,1,1,0,1.53483247756958,0.5348324775695801,0.317207829306668,-0.682792170693332
10/09/2017,10,0,-10,2.8615572452545166,-7.138442754745483,-3.7204300671810095,-13.72043006718101
17/09/2017,0,-1,-1,1.6235604286193848,1.6235604286193848,0.0355131822129683,0.0355131822129683
24/09/2017,0,1,1,0.2596132159233093,0.2596132159233093,0.259031371782368,0.259031371782368
01/10/2017,1,10,9,1.0823903083801272,0.08239030838012718,2.24985270173658,1.2498527017365801
08/10/2017,0,0,0,7.122653007507324,7.122653007507324,1.7572034883379497,1.7572034883379497
15/10/2017,1,0,-1,0.4769562780857086,-0.5230437219142914,2.10843142524762,1.1084314252476202
22/10/2017,0,1,1,4.794059753417969,4.794059753417969,-5.2451272967300095,-5.2451272967300095
29/10/2017,0,0,0,1.937387466430664,1.937387466430664,-2.30284943406342,-2.30284943406342
05/11/2017,0,1,1,2.4021291732788086,2.4021291732788086,1.56185318488799,1.56185318488799
12/11/2017,3,0,-3,1.8907316923141482,-1.1092683076858518,-0.47027162710165205,-3.470271627101652
19/11/2017,-1,0,1,2.328399419784546,3.328399419784546,2.20412037907376,3.20412037907376
26/11/2017,-1,0,1,-3.2724230289459233,-2.2724230289459233,1.73723324717557,2.73723324717557
03/12/2017,1,3,2,-2.494375705718994,-3.494375705718994,0.9187831289421401,-0.08121687105785991
10/12/2017,1,-1,-2,-1.4355731010437012,-2.435573101043701,1.80778957792375,0.8077895779237501
17/12/2017,0,-1,-1,-1.1317789554595947,-1.1317789554595947,-0.6051086080821451,-0.6051086080821451
24/12/2017,0,1,1,-0.07714800536632538,-0.07714800536632538,4.47411347521017,4.47411347521017
