,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,3,0,3,2,3
53,0,3,0,3,2
54,1,0,3,0,3
55,1,1,0,3,0
56,1,1,1,0,3
57,1,1,1,1,0
58,0,1,1,1,1
59,1,0,1,1,1
60,1,1,0,1,1
61,0,1,1,0,1
62,0,0,1,1,0
63,1,0,0,1,1
64,1,1,0,0,1
65,2,1,1,0,0
66,0,2,1,1,0
67,0,0,2,1,1
68,0,0,0,2,1
69,0,0,0,0,2
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,1,0,0,0,0
74,0,1,0,0,0
75,2,0,1,0,0
76,0,2,0,1,0
77,0,0,2,0,1
78,0,0,0,2,0
79,1,0,0,0,2
80,0,1,0,0,0
81,0,0,1,0,0
82,0,0,0,1,0
83,1,0,0,0,1
84,0,1,0,0,0
85,0,0,1,0,0
86,2,0,0,1,0
87,0,2,0,0,1
88,0,0,2,0,0
89,1,0,0,2,0
90,1,1,0,0,2
91,0,1,1,0,0
92,0,0,1,1,0
93,1,0,0,1,1
94,1,1,0,0,1
95,0,1,1,0,0
96,0,0,1,1,0
97,0,0,0,1,1
98,0,0,0,0,1
99,0,0,0,0,0
100,3,0,0,0,0
101,0,3,0,0,0
102,0,0,3,0,0
103,0,0,0,3,0
