,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,2,2,22,303,1
53,0,2,2,22,303
54,2,0,2,2,22
55,3,2,0,2,2
56,1,3,2,0,2
57,0,1,3,2,0
58,0,0,1,3,2
59,0,0,0,1,3
60,0,0,0,0,1
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,1,0,0,0,0
78,1,1,0,0,0
79,0,1,1,0,0
80,0,0,1,1,0
81,0,0,0,1,1
82,2,0,0,0,1
83,3,2,0,0,0
84,2,3,2,0,0
85,8,2,3,2,0
86,2,8,2,3,2
87,7,2,8,2,3
88,7,7,2,8,2
89,10,7,7,2,8
90,1,10,7,7,2
91,7,1,10,7,7
92,1,7,1,10,7
93,4,1,7,1,10
94,5,4,1,7,1
95,13,5,4,1,7
96,5,13,5,4,1
97,1,5,13,5,4
98,6,1,5,13,5
99,2,6,1,5,13
100,2,2,6,1,5
101,6,2,2,6,1
102,0,6,2,2,6
103,0,0,6,2,2
