,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,70,2,1,16,8
53,1,70,2,1,16
54,0,1,70,2,1
55,0,0,1,70,2
56,0,0,0,1,70
57,1,0,0,0,1
58,1,1,0,0,0
59,2,1,1,0,0
60,0,2,1,1,0
61,1,0,2,1,1
62,0,1,0,2,1
63,0,0,1,0,2
64,1,0,0,1,0
65,0,1,0,0,1
66,0,0,1,0,0
67,0,0,0,1,0
68,3,0,0,0,1
69,1,3,0,0,0
70,0,1,3,0,0
71,0,0,1,3,0
72,0,0,0,1,3
73,0,0,0,0,1
74,1,0,0,0,0
75,0,1,0,0,0
76,1,0,1,0,0
77,4,1,0,1,0
78,0,4,1,0,1
79,0,0,4,1,0
80,2,0,0,4,1
81,0,2,0,0,4
82,1,0,2,0,0
83,1,1,0,2,0
84,1,1,1,0,2
85,1,1,1,1,0
86,2,1,1,1,1
87,1,2,1,1,1
88,2,1,2,1,1
89,7,2,1,2,1
90,1,7,2,1,2
91,12,1,7,2,1
92,13,12,1,7,2
93,15,13,12,1,7
94,1,15,13,12,1
95,21,1,15,13,12
96,5,21,1,15,13
97,8,5,21,1,15
98,3,8,5,21,1
99,5,3,8,5,21
100,3,5,3,8,5
101,5,3,5,3,8
102,3,5,3,5,3
103,3,3,5,3,5
