"","x"
"1",15.146404552903
"2",13.8507273474782
"3",14.5641114141341
"4",15.2075588740511
"5",14.3457721360233
"6",14.6577129187017
"7",15.027364694686
"8",15.7337700325825
"9",16.4780942736241
"10",14.6285979270692
"11",13.541551551048
"12",14.9540966632115
"13",19.3361848707388
"14",15.8402950860861
"15",14.7157892574239
"16",16.0412234347073
"17",16.8698307310452
"18",18.2522990455111
"19",4.72623217301851
"20",5.60486362428873
"21",0.639974376961106
"22",-0.145825011659173
"23",6.8938401740683
"24",4.56187621540248
"25",-0.733961257046282
"26",1.98639816872405
"27",2.23706284944802
"28",1.45796118343478
"29",0.897917306626439
"30",-0.982282204333058
"31",-0.0486165903651173
"32",-0.25444335905121
"33",-0.00833922809453225
"34",1.70187130905522
"35",0.204014297497938
"36",2.5161280478501
"37",0.549937301659803
"38",0.545323322103554
"39",0.243404785074509
"40",-0.025643064520001
"41",-0.117150496804803
"42",0.427493713328422
"43",0.587534000810232
"44",0.42839770687259
"45",0.212510463874723
"46",0.0137489382458341
"47",0
"48",0.010982405045602
"49",0
"50",0.0317786710110478
"51",0.00870117666953447
"52",0
